pers,type,dt,count
Cupid,---,1649,2
Cupid,---,1650,1
Cupid,---,1651,1
Cupid,---,1655,1
Cupid,---,1656,1
Cupid,---,1657,1
Cupid,---,1660,1
Cupid,---,1667,1
Cupid,---,1672,2
Cupid,---,1676,1
Cupid,---,1693,1
Cupid,---,1727,1
Cupids,---,1648,1
Cupids,---,1650,1
Cybele,---,1666,1
Cyclops,---,1648,1
Cygnus,Animal,1622,1
Cyparissus,---,1691,1
Cyrus,OT,1543,1
Cyrus,OT,1592,1
Cyrus,OT,1594,1
"Cyrus, King of Persia",---,1736,1
Dacia,---,1634,1
Damocles,person,1526,1
"Dan, Patriarch of Israel",---,1641,1
Danae,---,1638,1
Daniel,---,1543,2
Daniel,---,1592,1
Daniel,---,1594,1
Daniel,---,1695,1
Daniel,---,1719,1
Daniel Heinsius,person,1608,1
"Daniel, Oliver Cromwell's porter",person,1665,1
Daphne,---,1652,1
Daphne,---,1665,1
Darius,person,1695,1
Darius II,person,1592,1
Darius III,OT,1622,1
David,---,1516,1
David,---,1551,1
David,---,1585,2
David,---,1635,1
David,---,1641,1
David,---,1642,1
David,---,1643,1
David,---,1646,1
David,---,1660,1
David,---,1675,1
David,---,1735,1
David Teniers the Younger,person,1676,1
Death,Personification,1564,1
Death,Personification,1568,1
Death,Personification,1585,1
Death,Personification,1589,2
Death,Personification,1590,1
Death,Personification,1611,1
Death,Personification,1623,1
Death,Personification,1641,3
Death,Personification,1650,1
Death,Personification,1672,1
Death,Personification,1695,3
Decalogue,OT,1672,1
Deianira,---,1638,1
Deidamia,---,1648,1
Delphic Sybil,Sibyl,1618,1
Desiderius Erasmus,person,1585,1
Deucalion,---,1618,1
Devil,---,1642,1
Dialectica,Personification,1592,1
Dialectics,---,1640,1
Diamond grinder,Prof,1585,1
Diana,---,1511,1
Diana,---,1636,1
Diana,---,1637,1
Diana,---,1640,1
Diana,---,1641,2
Diana,---,1642,2
Diana,---,1643,1
Diana,---,1645,1
Diana,---,1646,1
Diana,---,1656,1
Dido,---,1601,1
Dido,---,1620,1
Dido,---,1672,1
Dies (Day),Personification,1650,1
Dinah,OT,1578,1
Diomedes,---,1648,1
Dionysius,NT,1526,1
Dirce,---,1617,1
Discord,Personification,1646,1
Dominican monk,Prof,1620,1
Dr James Usher,person,1585,1
Duke of Savoy,person,1574,1
Dwarf,---,1640,1
Dwarf,---,1642,1
Dwarf,---,1645,1
Dwarf,---,1646,1
Dwarf,---,1649,1
Dwarf,---,1657,1
Dwarf,---,1672,1
Earl of Pembroke,person,1654,1
Earth,Personification,1672,1
Edna,OT,1511,1
Edward V,person,1695,1
Edward VI,person,1585,1
Edward the Confessor,person,1596,1
Eglon,OT,1729,1
Egyptian army,Nation,1574,1
Egyptian sphinx,---,1590,1
Egyptians,Nation,1638,1
Elders,---,1616,1
Elders,---,1652,1
Elders,---,1719,1
Eliezer,OT,1641,1
Elijah,OT,1573,1
Elijah,OT,1585,1
Elijah,OT,1636,1
Elijah,OT,1643,1
Elijah,OT,1746,1
Eliphaz,OT,1619,1
Elisha,OT,1585,1
Elizabeth of Bohemia,person,1595,1
Elpenor,---,1615,1
Elymas,NT,1615,1
Elymas,NT,1650,1
Emperor Constantine,person,1552,1
Emperor Maximilian,person,1599,1
English gentlewoman,Woman,1585,1
English lady,Woman,1504,1
English lady,Woman,1543,1
English lady,Woman,1548,1
English lady,Woman,1577,1
English lady,Woman,1583,1
English lady,Woman,1585,1
English lady,Woman,1619,1
English lady,Woman,1639,1
English lady,Woman,1641,1
English lady,Woman,1695,1
Envy,---,1594,1
Envy,---,1639,1
Envy,---,1643,1
Envy,---,1754,1
Eros,---,1643,1
Erysichthon,---,1643,1
Esdras (Ezdra),---,1592,1
Esther,OT,1576,1
Esther,OT,1591,1
Esther,OT,1621,1
Esther,OT,1649,1
Ethiopians,Nation,1594,1
Europa,---,1585,1
Europa,---,1635,1
Europa,---,1643,1
Europa,---,1740,1
Europe,---,1703,1
Euryalus,---,1678,1
Eurynome,---,1650,1
Eutychus,NT,1627,1
Evangelists,NT,1643,1
Evangelists,NT,1670,1
Eve,OT,1583,1
Eve,OT,1585,3
Eve,OT,1589,1
Eve,OT,1597,1
Eve,OT,1637,1
Eve,OT,1642,1
Eve,OT,1643,2
Eve,OT,1650,1
Eve,OT,1651,1
Eve,OT,1672,1
Eve,OT,1673,1
Ezra,OT,1585,1
"Fadrique Álvarez de Toledo, 4th Duke of Alba",person,1577,1
Faith,---,1695,1
Fame,Personification,1585,1
Fame,Personification,1589,1
Fame,Personification,1625,1
Fame,Personification,1635,1
Fame,Personification,1672,1
Father Felice,person,1646,1
Father Time,---,1634,1
Father Time,---,1642,1
Father Time,---,1695,1
Faustina the Younger,person,1642,1
"Ferdinand, Prince of Spain",person,1614,1
Festus,NT,1504,1
Fides,---,1512,1
Fides,---,1728,1
Fides (Faith),---,1564,1
Fides (Faith),---,1575,1
Fides (Faith),---,1585,1
Figure of Rome,---,1603,1
Figures,---,1630,1
Fisherman,---,1667,1
Florentine noble couple,Nation,1673,1
Fortitude,Personification,1729,1
Four Winds,---,1605,1
France,Personification,1589,1
Francesco Filetto,person,1692,1
Francis Glisson,person,1600,1
Franciscan monk,Prof,1545,1
Franciscan monks,---,1672,1
Frederick III of Saxony,person,1550,1
French troops,Nation,1639,1
Friedrich Wilhelm,person,1585,1
Gabriel,OT,1598,1
Gabriel,OT,1618,1
Gabriel,OT,1635,1
Gabriel,OT,1656,1
Gabriel,OT,1695,1
Gabriele Ciabrera,person,1582,1
"Gad, Patriarch of Israel",OT,1586,1
Galatea,---,1573,1
Galatea,---,1590,1
Galatea,---,1630,1
Galba,person,1659,1
Gamesters,---,1585,1
Gardener,Prof,1597,1
Geminiano Caldarostaro,person,1668,1
Gentleness,Personification,1585,1
Geometria,Personification,1618,1
"Georg Friedrich, Margrave of Baden-Durlach",person,1695,1
Georg Pflug von Peterstein,person,1551,1
George Edwards,person,1656,1
"George Villiers, 2nd Duke of Buckingham",person,1646,1
Gerrit Jansz. van Schooten,person,1585,1
Gerrit de Jong,person,1582,1
Gideon,OT,1526,1
Gideon,OT,1582,1
Gideon,OT,1592,1
Gideon,OT,1601,1
Gideon,OT,1622,1
Gideon,OT,1641,1
Gideon,OT,1669,1
Gideon,OT,1695,1
Gideon's army,OT,1585,1
Gilbertine monk,Prof,1585,1
Giorgione as David,---,1725,1
"Giovanni Baglione, as a Knight of Malta",person,1585,1
Giovanni Battista Marino,person,1615,1
Giovanni de' Medici,person,1641,1
Gladiators,---,1622,1
Glass blower,Prof,1644,1
Glory,NT,1642,1
Glory,NT,1664,1
Glue maker,Prof,1594,1
Goatherd,Prof,1640,1
Goatherd,Prof,1641,1
Goats,---,1640,1
God,---,1566,1
God,---,1574,1
God,---,1575,1
God,---,1585,1
God,---,1589,1
God,---,1592,1
God,---,1618,1
God,---,1637,1
God,---,1641,2
God,---,1642,1
God,---,1643,1
God,---,1649,1
God,---,1674,1
God,---,1688,1
God the Father,---,1545,1
God the Father,---,1585,2
God the Father,---,1622,1
God the Father,---,1646,1
God the Father,---,1651,1
God the Father,---,1656,1
God the Father,---,1695,2
God the Father,---,1705,1
God the father,---,1605,1
God the Father,---,1618,1
Godfrey of Bouillon,person,1585,1
Goldbeater,Prof,1695,1
Goliath,OT,1585,2
Goliath,OT,1641,1
Goliath,OT,1642,1
Goliath,OT,1725,1
Gonzales de Córdoba,person,1641,1
Gottfried-Heinrich,person,1551,1
Grammar,Personification,1645,1
Grammar,Personification,1695,1
Greek soldiers,Prof,1688,1
Greek woman,Woman,1734,1
Griet Luiten,person,1682,1
Grim Reaper,---,1543,1
Grim Reaper,---,1639,1
Grocer,Prof,1688,1
Guardian Angel,---,1641,1
Guercino,person,1549,1
"Guillaume Ancel, French ambassador in Prague",person,1573,1
Hagar,OT,1582,1
Hagar,OT,1589,1
Hagar,OT,1627,1
Hagar,OT,1634,1
Hagar,OT,1695,1
Hamor,---,1578,1
Hamor,---,1618,1
Hannibal,person,1603,1
Hans (John) Wormbergh,person,1641,1
Hans Bol,person,1543,1
Hans De Ries,person,1554,1
Hans Holbein,person,1695,1
Hans Holbein the Younger,person,1573,1
Harboldius van Tombergen,person,1688,1
Harlequin,person,1589,1
Hearing,Personification,1585,1
Hecuba,---,1585,1
Helenus,---,1608,1
Helios,---,1650,1
Helios,---,1734,1
Hendrick van der Borcht the Younger,person,1649,1
Hendrik van der Borcht the Elder,person,1588,1
"Henri II de Lorraine, Duke of Guise",person,1585,1
Henrietta Maria,person,1592,1
"Henry Frederick, Prince of Wales",person,1585,1
Henry II,person,1587,1
Henry III,person,1679,1
Henry IV,person,1635,1
"Henry Stuart, Lord Darnley",person,1511,1
Henry VIII,person,1592,1
Henry VIII,person,1635,1
Henry VIII,person,1688,1
Hera,---,1640,1
Hera,---,1648,1
Hercules,---,1585,1
Hercules,---,1589,1
Hercules,---,1608,1
Hercules,---,1616,1
Hercules,---,1625,1
Hercules,---,1638,1
Hercules,---,1641,2
Hercules,---,1642,1
Hercules,---,1649,1
Hercules,---,1652,1
Hercules,---,1657,1
Hercules,---,1679,1
Hercules,---,1688,1
Hercules,---,1724,1
Heresy,Personification,1543,1
Hermaphroditus,---,1512,1
Hermaphroditus,---,1639,1
Hermaphroditus,---,1645,1
Hermes,---,1646,1
Hero,---,1585,1
Herod,NT,1586,1
Herod,NT,1643,1
Herod,NT,1683,1
Herod,NT,1703,1
Herod's soldiers,NT,1606,1
Herodes,NT,1630,1
Herodias,NT,1630,1
Herodias,NT,1703,1
Herodias,NT,1726,1
Herse,---,1639,1
Hersilia,---,1651,1
Hesperides,---,1585,1
Hezekiah,---,1579,1
High Priest,Prof,1586,1
Hippolytus,---,1556,1
Hippolytus,---,1587,1
Holofernes,OT,1585,1
Holofernes,OT,1622,1
Holofernes,OT,1643,1
Holofernes,OT,1647,1
Holofernes,OT,1651,1
Holofernes,OT,1661,1
Holofernes,OT,1686,1
Holy Dove,---,1605,1
Holy Family,---,1504,1
Holy Family,---,1513,1
Holy Family,---,1526,1
Holy Family,---,1549,1
Holy Family,---,1582,1
Holy Family,---,1585,1
Holy Family,---,1589,1
Holy Family,---,1615,1
Holy Family,---,1616,1
Holy Family,---,1619,1
Holy Family,---,1632,1
Holy Family,---,1634,1
Holy Family,---,1641,3
Holy Family,---,1643,1
Holy Family,---,1644,1
Holy Family,---,1645,2
Holy Family,---,1646,2
Holy Family,---,1648,1
Holy Family,---,1650,1
Holy Family,---,1672,1
Holy Family,---,1692,1
Holy Family,---,1718,1
Holy Ghost,---,1656,1
Holy Roman Emperor,person,1589,1
Holy Spirit,---,1589,1
Holy Spirit,---,1622,2
Holy Spirit,---,1634,1
Holy Spirit,---,1635,2
Holy Spirit,---,1652,1
Holy Spirit,---,1657,1
Holy Spirit,---,1670,1
Holy Spirit,---,1674,1
Holy Spirit,---,1695,1
Holy Trinity,---,1585,1
Holy Trinity,---,1653,1
Holy Trinity,---,1674,1
Holy Woman,---,1606,1
Holy family,---,1565,2
Holy family,---,1573,1
Holy family,---,1616,1
Holy family,---,1665,1
Holy women,---,1585,1
Hugo Grotius,person,1675,1
Hulst,---,1640,1
Humility,---,1695,1
Hungarian woman,Woman,1616,1
